S/N,Authors/Year,Title,Framework,Dataset (Quantity and Source),Results,Gaps
*33.,"Emmanuel, A., Mwangi, W., Muthoni, P., Danison, T., & Fredrick, K. A",Comparative Study of Some Pre-Trained Models on Transfer Learning Approach,The study does not evaluate how each individual algorithms performed based on the different Cassava diseases,,,
*34.,"Ghazalli, H. I. M., & Roslan, N. A. (2022).",Bacterial Blight and Mosaic Disease Detection on Cassava Leaf using Support Vector Machine.,No prediction accuracy on how individual classes performed.,,,
35,"Thai, H. T., Tran-Van, N. Y., & Le, K. H. (2021, October).",Artificial cognition for early leaf disease detection using vision transformers.,"Vision Transformer (ViT) framework for classifying and predicting Cassava diseases: Cassava Bacterial Blight (CBB), Cassava Brown Streak Disease (CBSD), Cassava Green Mottle (CGM), Cassava Mosaic Disease (CMD), , and Healthy leaves.","A total of 21397 annotated images of Cassava leaves were collected from Makerere University and National Crops Resources Research Institute: CBB (Training - 870 and Testing - 217);
CBSD (Training - 1752 and Testing - 437); CGM (Training -1908 and Testing - 478 ); CMD (Training - 10526 and Testing - 2632) and Healthy (Training - 2061 and Testing - 516 )","Precision Accuracy values: CBB (79%), CBSD (87%), CGM (81%), CMD (96%) and Healthy (78%)",CBB classification score is the low and complex for the model.
*36.,"Mwebaze, E., Quinn, J. A., & Biehl, M. Matrix (2021)",Relevance Learning From Spectral Data for Diagnosing Cassava Diseases.,"Generalized Matrix Relevance Learning Vector Quantization framework compared to GLVQ, GRLVQ, Linear SVC and CNN for classifying Cassava diseases: Healthy, CBSD, and CMD from Cassava leaf spectra.",The model (GMLVQ) does not explicitly show how its accuracy improved compared to other algorithms (with the reduced feature sets).,,
*37.,"Zhang, H., Xu, Y., & Sun, J. (2021, November).",Detection of Cassava Leaf Diseases Using Self-supervised Learning.,Not Applicable (Not explicit about the methodology),,,
*38.,"Thaiyalnayaki, K., Raghul, S., kumar, U. K., & Ramachandran, S. (2022, April).",Automatic classification of cassava using data augmentation and CNN..,Not accessible,,,
*39.,"Srivastava, J. (2022, June).",Cassava Leaf Disease Detection Using Deep Learning.,Not explicit about its predictions for the classes of the disease,,,
40,"Vijayalata, Y., Billakanti, N., Veeravalli, K., Deepa, A., & Kota, L. (2022, February).",Early Detection of Cassava Plant Leaf Diseases using EfficientNet-B0.,"EfficientNet-B0 framework to classify and predict Cassava diseases: Cassava Bacterial Blight (CBB), Cassava Brown Streak Disease (CBSD), Cassava Mosaic Disease (CMD), Cassava Green Mottle (CGM) and Healthy.","The datasets (21,367 images) were collected from Kaggle: Cassava Bacterial Blight (CBB) (1,087 images), Cassava Brown Streak Disease (CBSD) (2,189 images), Cassava Mosaic Disease (CMD) (13,158 images), Cassava Green Mottle (CGM) (2,386 images), and Healthy (2,577 images). The dataset was split into 80% for training, 20% for validation, and 20 samples were used for testing the model.","Precision Accuracy:
Class (0) - CBB: 100%
Class (1) - CBSD: 83%
Class (2) - CMD: 83%
Class (3) - CGM:100%
Class (4) - Healthy: 100%",Typical of all existing works. The model does not detect other diseases of Cassava.
41,"John, A. A. (2022, July).",Identification of Diseases in Cassava Leaves using Convolutional Neural Network.,"DenseNet169 Neural Network framework for classifying and predicting Cassava diseases: CBB, CBSD, CGM, CMD and Healthy.","A total of 21,397 labeled images were collected from Kaggle: 13479 Training sets, 5778 Testing sets and 2140 validation sets (in the ratio (63:27:10).","The precision accuracy based on the AUC score are: CBB (96%), CBSD (97%), CGM (95%), CMD (98%) and Healthy (95%).",There is a class imbalance that should be improved to increase the prediction accuracy.
42,"Plata, I. T., Panganiban, E. B., Alado, D. B., Taracatac, A. C., Bartolome, B. B., & Labuanan, F. R. E. (2021).",A Recognition Method for Cassava Phytoplasma Disease (CPD) Real-Time Detection based on Transfer Learning Neural Networks.,"Faster R-CNN model compared to Single Shot Detector (SSD) Mobilenet v2, and You Only Look Once (YOLO) v4 frameworks for classifying and predicting Cassava Phytoplasma Disease (CPD).",The datasets were collected on ground-truth by researchers (on a cassava farm with identified CPD infection). A total of 40 cassava stalks were collected (18 CPD infected and 22 healthy stalks).,"FASTER R-CNN accurately predict True Negative (80% and 71%) and True Positive (87% and 69%) for high and low resolutions

YOLOV4 and SSD MOBILENET V2 accurately predicts better True Negative and True Positive only at high resolution",There are limited training datasets. There would be a need to increase the datasets and improve the hyperparameters to get better outcomes.
43,"Thai, H. T., Le, K. H., & Nguyen, N. L. T. (2023).",FormerLeaf: An efficient vision transformer for Cassava Leaf Disease detection.,"Transformer-based leaf disease detection model - FormerLeaf (Proposing the Least Important Attention Pruning - LeIAP and sparse matrix-matrix multiplication - SPMM algorithms) to classify and predict Cassava diseases: CBB, CBSD, CGM, CMD and Healthy.","The datasets were collected from Kaggle (Datasets from National Crops Resources Research Institute (NaCRRI) incorporated with the Makerere Artificial Intelligence and Data Science Research Lab).

A total of 21,397 cassava leaf images: CBB (1087 images - 869 Training and 218 Validation), CBSD (2189 images - 1751 training and 438 validation), CGM (2386 images - 1909 training and 477 validation), CMD (13,158 images - 10 527 training and 2631 validation), and Healthy (2577 images - 2061 training and 516 validation).","The precision accuracy: CBB (93%), CBSD (95%), CGM (93%), CMD (98%) and Healthy (97%).",N/A
44,"Plata, I. T., Panganiban, E. B., Alado, D. B., Taracatac, A. C., Bartolome, B. B., & Labuanan, F. R. E. (2022)",Comparative Performance Analysis of Real-Time Methods for Cassava Phytoplasma Disease (CPD) Detection based on Deep Learning Neural Networks.,"Faster R-CNN, SSD Mobilenet v2, and YOLO v4 for predicting Cassava Phytoplasma Disease (CPD). Ground-Truth Datasets were collected from multiple locations with the disease.","A total of 40,360 images were collected ( 80% of train datasets and 20% test datasets).","The training accuracy (because it is one disease) for the models show that Faster R-CNN has 95%, SSD Mobilenet v2 has 73% and YOLO v4 has 85%.",N/A
45,"Satoto, B. D., Syarief, M., & Khotimah, B. K. (2021, December).",Region Proposal Convolutional Neural Network with augmentation to identifying Cassava leaf disease.,"Region CNN for classifying and predicting Cassava diseases:  Normal (Healthy), CBB, CBSD, CGM and CMD.","The datasets were collected from Kaggle: CBB (466 images), CBSD (1443 images), CGM (773 images), CMD (2658 images), and the normal condition leaf (316 images).","Prediction accuracies: CBB (99.2%), CBSD (99.2%), CGM (100%), CMD (98%) and Normal - Healthy (99.2%)",N/A
*46.,"OKTAVIAN, G. M., & SANTOSO, H. (2021).","Leveraging MobileNet, InceptionV3, and CropNet to Classify Cassava Plant Disease.",Not Explicit about the application of their frameworks in predicting Cassava diseases.,,,
47,"Gómez-Pupo, S. M., Patiño-Saucedo, A., Agudelo, M. A. F., Mesa, E. C., & Patiño-Vanegas ()","Convolutional neural networks for the recognition of diseases and pests in Cassava leaves (Manihot esculenta).""","A. Convolutional neural networks (using VGG16, ResNet50 and Xception architectures) for classifying and predicting Cassava Diseases: CBB, CBSD, CMD, CGM and Healthy.","A total of 6745 images were collected from Kaggle (CBB - 1349 images, CBSD - 1349 images, CMD - 1349 images, CGM - 1349 images and Healthy - 1349 images)","Prediction accuracies: CBB (97%), CBSD (97%), CGM (95%), CMD (95%), Healthy and (90%).",N/A
*48.,"ÖNLER, E. (2022).",Explaining image classification model (CNN-based) predictions with lime.,Not explicit on how classification of cassava diseases.,,,
