S/N,Authors/Year,Title,Framework,Dataset (Quantity and Source),Results,Gaps
21,"Chuanlei, Z., Shanwen, Z., Jucheng, Y., Yancui, S., & Jia, C. (2017).",Apple leaf disease identification using genetic algorithm and correlation based feature selection method.,"Genetic Algorithm (GA), Correlation based Feature Selection (CFS) and SVM classifier compared to K-means-based Segmentation and Neural-Networks-based Classification (KMS+NNC), and Color Feature Extraction of tomato leaf diseases (CFE) for classifying and predicting Apple diseases: Powdery Mildew, Mosaic and Rust.","A total of 90 diseased leaf images were collected from the research location in China: Powdery Mildew(30), Mosaic (30) and Rust (30).","Precision Accuracy values for the proposed SVM classifier:
Powdery Mildew ( 95%), Mosaic (94%) and Rust (94%)","The datasets collected were in a controlled environment, this compared to naturally illuminated environments might provide basis for generalization. Also, the limited amount of datasets would require further research with more to generalize the model."
22,"Wang, G., Sun, Y., & Wang, J. (2017).",Automatic image-based plant disease severity estimation using deep learning.,"Deep learning (VGG16 model) framework for classifying and predicting Apple disease: apple black rot in its early, middle and end stages together with healthy apple images.","A total of 2,086 images of healthy and diseased crops were collected from PlantVillage: healthy leaves (1644 images), early-stage (137 images), middle-stage (180 images), and end-stage disease (125 images). The early stage, middle stage, and end stage were divided into 80% of the training dataset and 20% test dataset. The healthy-stage leaves were split into 110 by 12 clustered images as training datasets and 27 by 12 clustered images as testing datasets.","Precision Accuracy values: 
Healthy (100%)
Early stage (84%)
Middle stage (86%)
End stage (95%)",Healthy leaves are much more than the diseased leaves and might be why the accuracy is more biased. There would be the need to increase the datasets to further improve the accuracy.
23,"Rehman, Z. U., Khan, M. A., Ahmed, F., Damaševičius, R., Naqvi, S. R., Nisar, W., & Javed, K. (2021).",Recognizing apple leaf diseases using a novel parallel real‐time processing framework based on MASK RCNN and transfer learning: An application for smart agriculture.,"Mask RCNN for segmentation and ESDA classifier for classifying and predicting Apple diseases: Apple scab, Black rot, Cedar rust and Healthy.","A total of 3,171 images were collected from
PlantVillage: Apple scab (Training - 441 and Testing - 189), Black rot (Training - 435 and Testing - 186), Cedar rust (Training - 193 and Testing - 82) and Healthy (Training - 1152 and Testing - 493).","Precision Accuracy values for ESDA at k folds cross validation: 5, 10, 15 and 20 respectively:

Apple scab performed more at k folds 10, 15 and 20 (99%), Black rot performed more at k =10 and 15 (99%), Cedar rust performed more at k=5 and 20 (100%) and Healthy performed more at k = 10 and 15 (98%) .",The small number of datasets could have resulted in the inconsistencies in the accuracies across the k-folds.
*24.,"Adedoja, A., Owolawi, P. A., & Mapayi, T. (2019, August).",Deep learning based on nasnet for plant disease recognition using leave images.,No explicit analysis on the different diseases related to Apple plants observed,,,
*25.,"Tembhurne, J. V., Gajbhiye, S. M., Gannarpwar, V. R., Khandait, H. R., Goydani, P. R., & Diwan, T. (2023).",Plant disease detection using deep learning based Mobile application.,No explicit analysis on the different diseases related to Apple plants observed,,,
26,"Thakur, P. S., Sheorey, T., & Ojha, A. (2023).",VGG-ICNN: A Lightweight CNN model for crop disease identification.,"Convolutional Neural Network ‘VGG-ICNN’ framework for classifying and predicting Apple diseases (Healthy, Rust, Scab, and Multiple Disease) and other plants:Maize, and Rice.","Apple datasets were collected from Kaggle. A total of 1821 images were extracted for the Apple diseases: Healthy (516), Rust (622), Scab (592) and Multiple Disease (91)","Precision Accuracy values: 

Healthy (96%), 
Rust (96%), 
Scab (96%), 
Multiple Disease (56%)",The proposed model has higher FLOPs (Floating Point Operations) which is possibly the reason for a bottleneck for real-time deployment.
*27.,"Lee, S. H., Goëau, H., Bonnet, P., & Joly, A. (2020).",New perspectives on plant disease characterization based on deep learning.,No explicit analysis on the different diseases related to Apple plants observed,,,
28,"Atila, Ü., Uçar, M., Akyol, K., & Uçar, E. (2021).",Plant leaf disease classification using EfficientNet deep learning model.,"EfficientNet (B5 and B4) deep learning framework for classifying and predicting Apple diseases: Apple scab, Apple Black rot, Apple Cedar apple rust and Healthy.","A total of 3172 images are collected from PlantVillage for Apple diseases: Healthy (1645)
Apple Cedar apple rust (276) Apple scab (630) and Apple Black rot (621)","Precision Accuracy values B5 and B4:

Apple scab (100%)
Apple Black rot (100%)
Apple Cedar apple rust (100%)
Healthy (100%)",N/A
29,"Zhao, Y., Chen, Z., Gao, X., Song, W., Xiong, Q., Hu, J., & Zhang, Z. (2021).",Plant disease detection using generated leaves based on DoubleGAN.,"DoubleGAN (Double Generative Adversarial Network) to generate high-resolution unhealthy plant images compared to healthy leaves. Hence, comparing VGG16, ResNet50 and DenseNet121 frameworks in classifying and predicting Healthy leaves from Apple and other plants (Corn, Grape, Potato and Tomato) compared to diseased Tomatoes.","A total of 3173 Healthy Apple leaves were collected from PlantVillage. Eighty (80) percent were used as the training set and 20 percent were used as the testing set. The datasets were tested in three different ways: original datasets (3,173), rotation and transformation (4,000), and DoubleGAN transformation (4,000)","Precision Accuracy values for Healthy Apple:
Original dataset
VGG16 (98%), ResNet50 (99%) and DenseNet121 (100%) 

Rotation and Transformation dataset
VGG16 (98%), ResNet50 (99%) and DenseNet121 (100%) 

DoubleGAN dataset
VGG16 (99%), ResNet50 (99%) and DenseNet121 (99%)",DoubleGANs can be used to expand the unbalanced dataset. Though there was no significant difference in the Precision Accuracy values with Apple plant compared to Tomatoes. The research should be intensified to justify its significance.
30,"Saleem, M. H., Khanchi, S., Potgieter, J., & Arif, K. M. (2020).",Image-based plant disease identification by deep learning meta-architectures.,"Three (3) Deep Learning frameworks::
1. Faster Region-based Convolutional Neural Network (RCNN)
2. Single Shot MultiBox Detector (SSD)
3. Region-based Fully Convolutional Networks (RFCN)

For classifying and predicting diseases of Apple: Apple Scab, Apple Black Rot, Apple Cedar Rust and Healthy, and other plants (Corn, Grape, Cherry, Blueberry, Orange, Peach, Pepper, Potato, Raspberry, Soybeans, Squash, Strawberry, and Tomato).","A total of 3,171 apple datasets were collected from PlantVillage:
Apple Scab (Training - 441, Validation - 126 and Testing - 63)
Apple Black Rot (Training - 435, Validation - 124 and Testing - 63)
Apple Cedar Rust (Training - 192, Validation - 55 and Testing - 28)
Healthy (Training - 1152, Validation - 329 and Testing - 165)","Based on the consistencies in the SGD with Momentum optimizer
Single Shot MultiBox Detector (SSD): Apple Scab (27%), Apple Black Rot (45%), Apple Cedar Rust (45%), Healthy (91%) 
Faster Region-based Convolutional Neural Network (RCNN): Apple Scab (61%), Apple Black Rot (42%), Apple Cedar Rust (35%), Healthy (43%) 

Region-based Fully Convolutional Networks (RFCN) for ResNet-101: Apple Scab (91%), Apple Black Rot (47%), Apple Cedar Rust (90%), Healthy (91%)","The unbalanced datasets could have impacted on the Precision Accuracy values across the three different frameworks: Faster RCNN, SSD and RFCN"
31,"Turkoglu, M., Hanbay, D., & Sengur, A. (2019).",Multi-model LSTM-based convolutional neural networks for detection of apple diseases and pests.,"Multi-model LSTM-based Pre-trained Convolutional Neural Networks (MLP-CNNs) framework for classifying and predicting Apple diseases: apple disease scab (Venturia Inaequalis), Brown rot (Monilinia laxa), Woolly apple aphid (Eriosoma Lanigerum) and he green apple aphid (Aphis pomi Deg).","A total of of 1,192 datasets were collected from Malatya and Bingol cities of Turkey: Venturia Inaequalis (422), Monilinialaxa (255), EriosomaLanigerum (359) and Aphis pomi Deg. (156)","Precision Accuracy values:
Venturia Inaequalis - Scab disease (100%), Monilinialaxa - Brown Rot (99%), EriosomaLanigerum - Woolly apple aphid (100%) and Aphis pomi Deg. (96%)",It takes time to train LSTM classifier with high dimensional feature No optimal parameters of LSTM were taken into consideration
32,"Park, K., ki Hong, Y., hwan Kim, G., & Lee, J. (2018).",Classification of apple leaf conditions in hyper-spectral images for diagnosis of Marssonina blotch using mRMR and deep neural network.,"Convolutional Neural Network (CNN) followed by a Fully Connected Network (FCN) framework for classifying and predicting Apple disease: apple Marssonina blotch (AMB) in four conditions (normal, young, malnutrition, early and late stages).","A total of 1102 images were collected by visiting location of the AMB disease: Normal leaf (190), Young leaf (172), Malnutrition (235), Early stage of AMB (305) and late stage of AMB 200","Precision Accuracy values:
Hyper-spectral image
Normal (79%)
Young (92%)
Malnutrition (54%) 
Early stage (91%)
Late stage (98%)

RGB image
Normal (25%)
Young (63%)
Malnutrition (51%) 
Early stage (93%)
Late stage (99%)",N/A
33,"Karpyshev, P., Ilin, V., Kalinov, I., Petrovsky, A., & Tsetserukou, D. (2021, January).",Autonomous mobile robot for apple plant disease detection based on CNN and multi-spectral vision system.,"Convolutional deep neural network based on the Mask R-CNN framework for classifying and predicting Apple diseases: healthy, apple rust and apple scab.","A total of 6193 images of apple leaves were collected from Kaggle: healthy samples (2515), apple rust (1636), apple scab disease (1835), and mixed disease (206). The dataset was split by the ratio: 0.8:0.1:0.1 for training / validation / test data.","Precision Accuracy values:

Healthy (99%)
Rust (96%)
Scab (97%)",N/A
34,"Hang, J., Zhang, D., Chen, P., Zhang, J., & Wang, B. (2019).",Classification of plant leaf diseases based on improved convolutional neural network.,"A CNN model based on VGG16, Squeeze-and-Excitation (SE) module and Inception structure convolutional layers (compared to others: VG19, GooLeNet, AlexNet, ResNet-50, InceptionV3, InceptionV4 and SENet) for classifying and predicting diseases in Apple (Healthy Apple, Apple Scab general, Apple Scab serious, Apple Frogeye Spot, Cedar Apple Rust general and Cedar Apple Rust serious) and other plants (Cherry and Corn).","After data augmentation, a total of 6108 images from https://challenger.ai/: 5588 images were for the training set and 520 images were for the test set. Healthy Apple (Training -1185 and Testing - 169), Apple Scab general (Training - 844 and Testing - 30), Apple Scab serious (Training - 596 and Testing - 22), Apple Frogeye Spot (Training - 427 and Testing - 61), Cedar Apple Rust general (Training - 142 and Testing - 20) and Cedar Apple Rust serious (Training - 160 and Testing - 11)","Precision Accuracy values:

Healthy Apple: 99%
Apple Scab general (ASG): 77%
Apple Scab serious (ASS): 68%
Apple Frogeye Spot (AFS): 100%
Cedar Apple Rust general(CARG): 100%
Cedar Apple Rust serious (CARS): 91%",N/A
*35.,"Ahmad, N., Asif, H. M. S., Saleem, G., Younus, M. U., Anwar, S., & Anjum, M. R. (2021).",Leaf image-based plant disease identification using color and texture features.,The study was generic on predicting healthy versus diseased plants (Apple and other plants),,,
36,"Khan, A., Nawaz, U., Ulhaq, A., & Robinson, R. W. (2020).",Real-time plant health assessment via implementing cloud-based scalable transfer learning on AWS DeepLens.,"DeepLens Classification and Detection Model (DCDM) frameworks for classifying and predicting diseases of Apple (Apple Scab, Black Rot, Cedar Apple Rust and Apple Healthy) and other plants’ (grape, peach and strawberry, potato and tomato).","A total of 7,051 of Apple plant leaves images were collected from local farmlands and PlantVillage: Apple Scab (1830), Black Rot (1821), Cedar Apple Rust (1675) and Apple Healthy (1725)","Precision Accuracy values:
Apple Scab (100%)
Black Rot (99%)
Cedar Apple Rust (100%)
Apple Healthy (100%)",N/A
*37.,"Hosakoti, R., Kumar, S. P., & Jain, P. (2021).",Disease Detection in Fruits Using Deep Learning.,No explicit analysis on the different diseases related to Apple plants observed,,,
38,"Khan, M. A., Lali, M. I. U., Sharif, M., Javed, K., Aurangzeb, K., Haider, S. I., ... & Akram, T. (2019).",An optimized method for segmentation and classification of apple diseases based on strong correlation and genetic algorithm based feature selection.,"M-SVM framework for classifying and predicting Apple diseases: healthy leaves, Blackrot, Rust, and Scab.","A total of 3171 images were collected from PlantVillage: healthy leaves (1645), Blackrot (621), Rust (275), and Scab (630).","Precision Accuracy values:
Healthy leaves (98%),
Blackrot (99%), 
Rust (95%) and Scab (97%).",N/A
*39.,"Wagle, S. A. (2021).",Comparison of Plant Leaf Classification Using Modified AlexNet and Support Vector Machine.,No explicit analysis on the different diseases related to Apple plants observed,,,
*40.,"Hari, S. S., Sivakumar, M., Renuga, P., & Suriya, S. (2019, March).",Detection of plant disease by leaf image using convolutional neural network.,No explicit analysis on the different diseases related to Apple plants observed,,,
*41.,"Min, B., Kim, T., Shin, D., & Shin, D. (2023).",Data Augmentation Method for Plant Leaf Disease Recognition.,No explicit analysis on the different diseases related to Apple plants observed,,,
42,"Nachtigall, L. G., Araujo, R. M., & Nachtigall, G. R. (2016, November).",Classification of apple tree disorders using convolutional neural networks.,"Convolutional Neural Networks (CNN) to classify and predict 6 disorders of Apple: Potassium deficiency, Magnesium deficiency, Scab damage, Glomerella stain, Herbicide damage and Healthy Leaves.","A total of 2539 images were collected from the orchards located in the southern part of Brazil: Potassium deficiency (341), Magnesium deficiency (355), Scab damage (391), Glomerella stain (558), Herbicide damage (325) and Healthy Leaves (569)","Precision Accuracy values:

Glomerella (94%)
Herbicide (100%)
Magnesium Def. (94%)
Potassium Def (100%)
Scab (93%)
Healthy Leaves (100%)",N/A
43,"Khan, M. A., Akram, T., Sharif, M., & Saba, T. (2020).",Fruits diseases classification: exploiting a hierarchical framework for deep features fusion and selection.,"Multi-class SVM framework for classifying and predicting Apple diseases: Apple Black Rot, apple scab, apple rust and other plants (Cherry and Peach). A total of 3170 datasets were collected from PlantVillage.","The datasets were split into training (60%) and testing (40%) samples: Apple Black Rot (ABR) - (Training - 372, and Testing - 248); Apple Scab (A-SCB) - (Training - 378, and Testing - 252); Apple Rust (A-Rust) - (Training - 165, and Testing - 110 ); Apple Healthy (A-H) - (Training - 987, and Testing - 658).","Precision Accuracy values:

Apple Black Rot (ABR) - 99%
Apple Scab (A-SCB) - 96%
Apple Rust (A-Rust) - 99%
Apple Healthy (A-H) - 96%",N/A
44,"Samajpati, B. J., & Degadwala, S. D. (2016, April).",Hybrid approach for apple fruit diseases detection and classification using random forest classifier.,"Random Forest framework using color features i.e. Global color histogram (GCH), Color coherence vector (CCV) and texture features i.e. Local binary pattern (LBP), complete local binary pattern (CLBP), Local ternary pattern (LTP), Gabor Features. Hence, Gabor+CLBP+LTp compared to other combinations. The framework is intended to classify and predict Apple diseases:
Apple scab, Apple rot, Normal apple and Apple blotch.",A total of 110 datasets were collected (location - unspecified) 70 images in training dataset and 40 images in testing dataset (10 per class).,"Precision Accuracy values:

Gabor+CLBP+LTp 

Apple scab (80%)

Apple rot (80%)

Normal apple (100%)

Apple blotch (80%)",The limited number of datasets might have resulted in overfitting of the model. There would be need to improve the performance with more datasets
45,"Vishnoi, V. K., Kumar, K., & Kumar, B. (2021, December).",Crop disease classification through image processing and machine learning techniques using leaf images.,"Random Forest Framework for classifying and predicting Apple diseases (Apple Scab, Black rot, Cedar rust and Healthy) and black gram diseases.","A total of 3,171 images of Apple were collected from 
PlantVillage: Apple Scab (630), Black rot (621), Cedar rust (275) and Healthy (1645)","Precision Accuracy Values:
Apple Scab (97%), Black rot (98%), Cedar rust (98%) and Healthy (97%)",N/A
*46.,"Afifi, A., Alhumam, A., & Abdelwahab, A. (2020).",Convolutional neural network for automatic identification of plant diseases with limited data.,No explicit analysis on the different diseases related to the Apple plants observed,,,
*47.,"Jarolmasjed, S., Sankaran, S., Marzougui, A., Kostick, S., Si, Y., Quirós Vargas, J. J., & Evans, K. (2019).",High-throughput phenotyping of fire blight disease symptoms using sensing techniques in apple.,No explicit analysis,,,
