S/N,Authors/Year,Title,Framework,Dataset (Quantity and Source),Results,Gaps
*11.,"Qian, Q., Yu, K., Yadav, P. K., Dhal, S., Kalafatis, S., Thomasson, J. A., & Hardin IV, R. G. (2022, June).",Cotton crop disease detection on remotely collected aerial images with deep learning.,No explicit analysis on the different diseases related to the Cotton plants observed,,,
12,"Panda, S., & Somani, V. (2021).",Cotton Leaf Disease Detection Using Image Processing.,"Support Vector Machine (SVM) framework compared to Artificial Neural Network 
(ANN) for classifying and predicting cotton diseases: Alternaria leaf spot Fungal Disease (ALSFD), Grey-Mildew Cotton Disease (GMCD) and Rust Foliar Fungal Disease (RFFD)","A total of 3490 images collected from a cotton field by the researchers were used for the SVM classifier: ALSFD (1,332), GMCD (1025) and RFFD (1,133) .","Precision Accuracy Values: 
ALSFD (84%), GMCD (99%) and RFFD (93%) .",N/A
*13.,"Jenifa, A., Ramalakshmi, R., & Ramachandran, V. (2019, April).",Classification of cotton leaf disease using multi-support vector machine.,No explicit analysis on the different diseases related to the Cotton plants observed: Class 1 - 5 not defined as per the disease they represent.,,,
*14.,"Prashar, K., Talwar, R., & Kant, C. (2019, April).",CNN based on overlapping pooling method and multi-layered learning with SVM & KNN for American cotton leaf disease recognition.,No explicit analysis on the methodology and cotton diseases,,,
15,"Patil, B. M., & Burkpalli, V. (2022, May).",Cotton Leaf Disease Classification by Combining Color and Texture Feature-based Approach.,"Multilayer Perceptron (MLP) layer with a Logistic Model Tree (LMT) framework for classifying and predicting Cotton diseases: Healthy, Grey Mildew, Bacterial Blight and Alternaria.",A total of 400 images were collected by the researchers: 300 images for training and 25 each (25 x 4 diseases) for testing.,"Precision Accuracy Values: Healthy (96%), Grey Mildew (89%), Bacterial Blight (87%) and Alternaria (92%).",N/A
16,"Rothe, P. R., & Kshirsagar, R. V. (2015, January).",Cotton leaf disease identification using pattern recognition techniques.,"Back propagation neural network framework for classifying and predicting Cotton diseases: Bacterial Blight, Myrothecium and Alternaria","Images were collected by researchers from the Central Institute of Cotton Research Nagpur, and the cotton fields in Buldana and Wardha district (India).","Precision Accuracy Values: Bacterial Blight (80%), Myrothecium (88%) and Alternaria (89%)","The model is very slow for training and prediction. The model should improve upon adding features to enhance the speed.

The total number of images collected for the study was not explicitly stated."
*17.,"Kinger, S., Tagalpallewar, A., George, R. R., Hambarde, K., & Sonawane, P. (2022, October).",Deep Learning Based Cotton Leaf Disease Detection.,No explicit analysis on the methodology and cotton diseases,,,
*18.,"Susa, J. A. B., Nombrefia, W. C., Abustan, A. S., Macalisang, J., & Maaliw, R. R. (2022, April).",Deep Learning Technique Detection for Cotton and Leaf Classification Using the YOLO Algorithm.,No explicit analysis on the different diseases related to the Cotton plants observed,,,
19,"Jenifa, A., Ramalakshmi, R., & Ramachandran, V. (2019, December).",Cotton leaf disease classification using deep convolution neural network for sustainable cotton production.,"Deep Convolutional Neural Network for classifying and predicting Cotton diseases: Healthy, Cercospora, Bacterial blight, Ascochyta blight, and Target spot.","Total of 600 leaves were collected by the researchers : 500 leaves were used for training the model and 100 test cotton: Healthy (20), Cercospora (20), Bacterial blight (20), Ascochyta blight (20) and Target spot (20)","Precision Accuracy Values: Healthy (95%), Cercospora (100%), Bacterial blight (90%), Ascochyta blight (95%) and Target spot (100%)",N/A
*20.,"Harshitha, G., Kumar, S., Rani, S., & Jain, A. (2021, November).",Cotton disease detection based on deep learning techniques.,No explicit analysis on the methodology and cotton diseases,,,
21,"Tahir, M. S., Yaqoob, A., Hamid, H., & Latif, R. M. A. (2022, December).",A Methodology of Customized Dataset for Cotton Disease Detection Using Deep Learning Algorithms.,"Convolutional Neural Networks (CNN) framework Xception compared to InceptionRestNetV2 and Inception V3 for classifying and predicting Cotton diseases: Bacterial Blight, Curl Leaf, Fussarium Wilt, Leafhopper Jassid, Whiteflies Attack and Healthy","A total of 1,965 images were collected from Kaggle: 1375 for training and 590 for testing. Bacterial blight (448), Curl Leaf (418), fusarium wilt (433), Leafhopper Jassid (101), Whiteflies attacking (132), and Healthy (426)","Precision Accuracy Values: Bacterial Blight (96%), Curl Leaf (94%), Fussarium Wilt (95%), Leafhopper Jassid (65%), Whiteflies Attack (80%) and Healthy (92%)",The reduction in the accuracy of Leafhopper Jassid suggests the need for more datasets. The distribution of data across the diseases did not add up to 1965. The paper did not explicitly state if there (the remaining 7 images) were reserved datasets.
*22.,"Tao, Y., Chang, F., Huang, Y., Ma, L., Xie, L., & Su, H. (2022).",Cotton Disease Detection Based on ConvNeXt and Attention Mechanisms.,No explicit analysis on the methodology and cotton diseases,,,
23,"Dubey, Y. K., Mushrif, M. M., & Tiple, S. (2018, March).",Superpixel based roughness measure for cotton leaf diseases detection and classification.,"Support Vector Machine framework for classifying and predicting Cotton diseases: Alternaria diseases, Bacterial diseases, White flies, and Healthy cotton leaf.","A total of 473 images were collected from http://www.ikisan.com/mh-cotton-disease-management.html: 284 images for training and 189 images for testing: Alternaria diseases (48), Bacterial diseases (50), White flies (48), and Healthy cotton leaf (43).","Precision Accuracy Values: Alternaria diseases (100%), Bacterial diseases (88%), White flies (100%), and Healthy cotton leaf (88%).",N/A
24,"Gulhane, V. A., & Kolekar, M. H. (2014, December).",Diagnosis of diseases on cotton leaves using principal component analysis classifier..,"Principle Component Analysis (PCA)/Nearest Neighbourhood Classifier (KNN) framework for classifying and predicting Cotton diseases: Blight, Leaf Nacrosis, Grey Mildew, Alternaria, Magnesium Deficiency and Non Disease",A total of 110 test samples were collected by the researcher.,"Precision Accuracy Values: Leaf Spot / Blight (94%), Magnesium Deficiency (92%), Leaf Nacrosis (96%), Grey Mildew (97%), Alternaria (94%) and Non Disease (97%)",The distribution of the dataset was not explicitly stated in the paper. No information about the training dataset.
25,"Bavaskar, S., Ghodake, V., Deshmukh, G., Chillawar, P., & Kathole, A. (2022, April).",Image Classification Using Deep Learning Algorithms for Cotton Crop Disease Detection.,"ResNet152 V2 framework for classifying and predicting Cotton diseases: Bacterial Blight, Fusarium Wilt, Curl Virus and Healthy.","A total of 1711 images were collected from Kaggle. The images consist of 4 different classes of Cotton Diseases: Bacterial Blight (448), Fusarium Wilt (419 images), Curl Virus (418 images), and healthy (426 images). The dataset was split to 80 - 20% training to testing ratio: Cotton Diseases: bacterial blight (358 training set and 90 testing set), Fusarium Wilt (334 training set and 84 testing set), Curl Virus (335 training set and 84 testing set), and healthy (340 training set and 86 testing set)","Precision Accuracy Values: Bacterial Blight (97%), Fusarium Wilt (96%), Curl Virus (100%) and Healthy (100%).",N/A
26,"Kumari, C. U., Prasad, S. J., & Mounika, G. (2019, March).",Leaf disease detection: feature extraction with K-means clustering and classification with ANN.,Artificial Neural Network (NN) framework for classifying and predicting Cotton diseases (Bacterial leaf spot and Target spot) and Tomato diseases.,Twenty images of Cotton were collected by the researcher,Precision Accuracy Values: Bacterial leaf spot (90%) and Target spot (80%),The number of datasets used were too small to generalize the model. It is important to explore with large datasets.
*27.,"Prashar, K., Talwar, R., Kant, C., & Pannu, P. P. S. (2017).",A Novel Shape and Texture based Analysis of the American Cotton Leaf Diseases with SVM Classification.,No explicit analysis on the different diseases related to the Cotton plants observed,,,
28,"Xiao, Q., Li, W., Kai, Y., Chen, P., Zhang, J., & Wang, B. (2019).",Occurrence prediction of pests and diseases in cotton on the basis of weather factors by long short term memory network.,"Long Short-Term Memory (LSTM) framework for classifying and predicting Cotton Diseases: Bollworm, Whitefly, Jassid and Leaf blight","A total of 15,343 samples were collected from the Crop Pest Decision Support System (http://www.crida.in:8080/naip/AccessData. jsp). A total of 12,490 datasets accounted for are as follows: Bollworm (1776), Whitefly (450), Jassid (730), Leaf Blight (523) and non-pest (9,011).","Precision Accuracy Values:

Bollworm (92%)

Whitefly (92%)

Jassid (94%)

Leaf Blight (96%)",More features are required to enhance the prediction accuracy.
*29.,"Liang, X. (2021).",Few-shot cotton leaf spots disease classification based on metric learning.,No explicit analysis on the different diseases related to the Cotton plants observed,,,
30,"Memon, M. S., Kumar, P., & Iqbal, R. (2022).",Meta Deep Learn Leaf Disease Identification Model for Cotton Crop.,"Meta Deep Learning framework for classifying and predicting Cotton Diseases: Healthy, Leaf Spot, Nutrient Deficiency, Powdery mildew, Target spot, Verticillium Wilt, and Leaf curl","A total of 2384 images of cotton leaves were collected from the Pakistani city of Matiari, located in Sindh Province: 1910 were used for training (Healthy - 204, Leaf Spot - 479, Nutrient Deficiency - 257, Powdery mildew - 182, Target spot - 225, Verticillium Wilt - 229, and Leaf curl - 334) and 475 were used for testing (Healthy - 50, Leaf Spot - 116, Nutrient Deficiency - 64, Powdery mildew - 46, Target spot - 57, Verticillium Wilt - 58, and Leaf curl - 84).","Precision Accuracy Values:
Healthy (100%), Leaf Spot (96%), Nutrient Deficiency (100%), Powdery mildew (98%), Target spot (98%), Verticillium Wilt (100%), and Leaf curl (100%)",N/A
31,"Ahmed, M. R. (2021).",Leveraging convolutional neural network and transfer learning for cotton plant and leaf disease recognition.,"Deep Cotton Plant Leaf Disease Convolutional Neural Network (DCPLD-CNN) model for classifying and predicting Cotton Diseases: Diseased Cotton Leaves, Diseased Cotton Plants, Fresh Cotton Leaves, and Fresh Cotton Plants.","The dataset contains 1951 training images and 324 test images belonging to four classes: Diseased Cotton Leaves, Diseased Cotton Plants, Fresh Cotton Leaves, and Fresh Cotton Plants.","Precision Accuracy Values: DCPLD-CNN for both 32 and 64 batch produced:
Diseased Cotton Leaves (99%), Diseased Cotton Plants (100%), Fresh Cotton Leaves (98%), and Fresh Cotton Plants (98%).",N/A
32,"Caldeira, R. F., Santiago, W. E., & Teruel, B. (2021).",Identification of cotton leaf lesions using deep learning techniques.,"ResNet50 convolutional network framework for classifying and predicting lesions of cotton leaves, healthy cotton leaves and background images.","A total of 60,659 images were collected from the field by the researchers.","Precision Accuracy Values: Lesions (87%), Healthy (89%), and Background (92%),",N/A
33,"Amin, J., Anjum, M. A., Sharif, M., Kadry, S., & Kim, J. (2022).",Explainable Neural Network for Classification of Cotton Leaf Diseases.,"Custom CNN, VGG-16 and ResNet-50 for classifying and predicting Cotton diseases: Multi-class (Bacterial Blight, Curl Virus, Fusarium Wilt and Healthy) and Binary-class (infected and normal)","1. Multi-class: A total of 1,786 images were collected from Kaggle 
Bacterial Blight (training - 434 and testing - 90), Curl Virus (training - 334 and testing - 84), Fusarium Wilt (training - 335 and testing - 84) and Healthy (training - 340 and testing - 85).
2. Binary-class: A total of 875 images were collected from Kaggle: infected (training - 288, testing - 25 and validation - 43) and normal (training - 427, testing - 26 and validation 66)","Precision Accuracy Values:
1. Multi-class:
Bacterial Blight (99.75%), Curl Virus (100%), Fusarium Wilt (99.95%) and Healthy (99.70%)

2. Binary-Class:

Infected (99.8%)

Normal (98.9%)",N/A
34,"Rai, C. K., & Pahuja, R. (2023).",Classification of Diseased Cotton Leaves and Plants Using Improved Deep Convolutional Neural Network.,"Deep Convolutional Neural Network (at 500 epochs) for classifying and predicting four classes of cotton conditions:
Diseased Cotton Leaf (DCL), Diseased Cotton Plant (DCP), Fresh Cotton Leaf (FCL), and Fresh Cotton Plant (FCP)","A total of 2293 images were collected from Kaggle: DCL (346), DCP (922), FCL (511) and FCP (514).","Precision Accuracy Values:
DCL (97%), DCP (100%), FCL (98%) and FCP (96%).",N/A
*35.,"Kumar, S., Musharaf, D., & Sagar, A. K. (2022).",Comparative Study of Pre-trained Models on Cotton Plant Disease Detection Using Transfer Learning.,Not explicit about the plant observed - Seemed to be Cotton but not explicitly stated,,,
36,"Anwar, S., Kolachi, A. R., Baloch, S. K., & Soomro, S. R. (2022, December).",Bacterial Blight and Cotton Leaf Curl Virus Detection Using Inception V4 Based CNN Model for Cotton Crops.,Inception V4 CNN model for classifying and predicting Cotton diseases: Bacterial Blight and Curl Virus,"The dataset is made up of 255 images of bacterial blight and 815 images of the curl virus collected from Kaggle. In addition, 57 sample images of bacterial blight and curl virus were collected from the field: Sindh, Pakistan","Precision Accuracy Values:
Bacterial Blight (98%)
Curl Virus (99%)",There was no clear explanation as to whether 57 samples collected from the field were both for bacterial blight and curl virus.
37,"Vinoda, N., Borugadda, P., Beera, V., & Babu, R. M. (2022).",Dimensionality reduction-based approach to classify the cotton leaf images using transfer learning on VGG16.,"Transfer learning VGG16 model for classifying and predicting cotton conditions: Diseased cotton leaf, Diseased cotton plant, Fresh cotton leaf and Fresh cotton plant.","A total of 2204 images: 1951 images were used for training (Diseased cotton leaf - 288, Diseased cotton plant - 815, Fresh cotton leaf - 427 and Fresh cotton plant - 421.
) and 253 images were used for validation (Diseased cotton leaf - 43, Diseased cotton plant - 78, Fresh cotton leaf - 66 and Fresh cotton plant - 66)","Precision Accuracy Values:
Diseased cotton leaf (97%), Diseased cotton plant (96%), Fresh cotton leaf (94%) and Fresh cotton plant (95%).",The imbalanced dataset might have impacted on how the prediction varied. More datasets should be used to improve accuracy in future work
